_io,pos_x,pos_y,pos_z,frame_number
<_io.BytesIO object at 0x000001DC14076E00>,0.32698237895965576,-0.039745524525642395,0.6704531311988831,82971
<_io.BytesIO object at 0x000001DC14076B30>,0.27884504199028015,0.0057016415521502495,0.6582813858985901,82971
<_io.BytesIO object at 0x000001DC14076720>,0.3680189847946167,-0.03881268575787544,0.6209268569946289,82971
<_io.BytesIO object at 0x000001DC14076040>,0.3122064471244812,0.03286755457520485,0.598361611366272,82971
<_io.BytesIO object at 0x000001DC14076DB0>,0.2670508027076721,0.010119506157934666,0.6073508858680725,82971
<_io.BytesIO object at 0x000001DC13E44E00>,0.28313472867012024,-0.0056840479373931885,0.5562574863433838,82971
<_io.BytesIO object at 0x000001DC13F49180>,0.32007285952568054,-0.0016253329813480377,0.5446878671646118,82971
<_io.BytesIO object at 0x000001DC13F49860>,0.370720237493515,0.014758750796318054,0.5388206839561462,82971
<_io.BytesIO object at 0x000001DC13F49F90>,0.3976067006587982,0.015642790123820305,0.5591357946395874,82971
<_io.BytesIO object at 0x000001DC13F49A40>,0.3727327585220337,-0.04334579408168793,0.5673669576644897,82971
<_io.BytesIO object at 0x000001DC140768B0>,0.3272291421890259,-0.0401228629052639,0.6704549789428711,82972
<_io.BytesIO object at 0x000001DC14076C20>,0.27876996994018555,0.004865637980401516,0.6581259965896606,82972
<_io.BytesIO object at 0x000001DC14076180>,0.3683232069015503,-0.03911210596561432,0.6210307478904724,82972
<_io.BytesIO object at 0x000001DC140760E0>,0.3119896352291107,0.031916506588459015,0.5981674790382385,82972
<_io.BytesIO object at 0x000001DC14076720>,0.26706984639167786,0.008811612613499165,0.6070846915245056,82972
<_io.BytesIO object at 0x000001DC14076950>,0.2825162410736084,-0.005984548944979906,0.556079626083374,82972
<_io.BytesIO object at 0x000001DC13F49310>,0.3200448751449585,-0.002675359370186925,0.545047402381897,82972
<_io.BytesIO object at 0x000001DC13F49950>,0.3709351122379303,0.014221482910215855,0.5387782454490662,82972
<_io.BytesIO object at 0x000001DC13F49A40>,0.3977656066417694,0.015437008813023567,0.5591796636581421,82972
<_io.BytesIO object at 0x000001DC13F49E00>,0.37316277623176575,-0.04374546557664871,0.5674875378608704,82972
<_io.BytesIO object at 0x000001DC14076400>,0.32729455828666687,-0.04067093878984451,0.6704509854316711,82973
<_io.BytesIO object at 0x000001DC14076040>,0.2788451611995697,0.004322803113609552,0.6580727696418762,82973
<_io.BytesIO object at 0x000001DC140769F0>,0.36853861808776855,-0.039616648107767105,0.6210795640945435,82973
<_io.BytesIO object at 0x000001DC14076C20>,0.31243711709976196,0.03127267584204674,0.5983378887176514,82973
<_io.BytesIO object at 0x000001DC14076EA0>,0.26703497767448425,0.008307400159537792,0.606994092464447,82973
<_io.BytesIO object at 0x000001DC14076D60>,0.28262901306152344,-0.00576842250302434,0.555814266204834,82973
<_io.BytesIO object at 0x000001DC13F49810>,0.31998875737190247,-0.00277507770806551,0.5450838804244995,82973
<_io.BytesIO object at 0x000001DC13F49B30>,0.3709721863269806,0.013778528198599815,0.5387502312660217,82973
<_io.BytesIO object at 0x000001DC13F49C70>,0.39790838956832886,0.0152521263808012,0.5592191219329834,82973
<_io.BytesIO object at 0x000001DC13F49E00>,0.37349575757980347,-0.044137515127658844,0.5675342082977295,82973
<_io.BytesIO object at 0x000001DC13F499A0>,0.32725468277931213,-0.04116038233041763,0.6704440712928772,82974
<_io.BytesIO object at 0x000001DC13F49220>,0.27887922525405884,0.0039037694223225117,0.6579894423484802,82974
<_io.BytesIO object at 0x000001DC13F49450>,0.36851418018341064,-0.04007673263549805,0.6210595965385437,82974
<_io.BytesIO object at 0x000001DC13F493B0>,0.31252211332321167,0.031237931922078133,0.5984221696853638,82974
<_io.BytesIO object at 0x000001DC13F491D0>,0.2671959400177002,0.008249269798398018,0.6070675849914551,82974
<_io.BytesIO object at 0x000001DC13F492C0>,0.2825124263763428,-0.005891401786357164,0.5558836460113525,82974
