_io,pos_x,pos_y,pos_z,frame_number,trial_time
<_io.BytesIO object at 0x00000257B64D08B0>,0.44235095381736755,0.052288029342889786,0.17988234758377075,682860,0.0
<_io.BytesIO object at 0x00000257B64D0900>,0.3628598749637604,0.056192152202129364,0.20769162476062775,682860,0.0
<_io.BytesIO object at 0x00000257B64FC770>,0.2757989764213562,0.06087218597531319,0.23554933071136475,682860,0.0
<_io.BytesIO object at 0x00000257B64D00E0>,0.4429360032081604,0.05352349206805229,0.18221181631088257,682861,0.0
<_io.BytesIO object at 0x00000257B64D08B0>,0.36342644691467285,0.057456132024526596,0.2095809131860733,682861,0.0
<_io.BytesIO object at 0x00000257B64D0F40>,0.2762601375579834,0.061734769493341446,0.23747819662094116,682861,0.0
<_io.BytesIO object at 0x00000257B64D0900>,0.4434078633785248,0.055066145956516266,0.18446141481399536,682862,0.0
<_io.BytesIO object at 0x00000257B64D0180>,0.3639496862888336,0.05860915035009384,0.21178601682186127,682862,0.0
<_io.BytesIO object at 0x00000257B64D0C70>,0.2765847444534302,0.06274625658988953,0.2391587197780609,682862,0.0
<_io.BytesIO object at 0x00000257B64D0400>,0.44380778074264526,0.05679788067936897,0.18659894168376923,682863,0.0
<_io.BytesIO object at 0x00000257B64D02C0>,0.3641752600669861,0.06018438935279846,0.21364380419254303,682863,0.0
<_io.BytesIO object at 0x00000257B64D0BD0>,0.27686992287635803,0.06383436918258667,0.24099144339561462,682863,0.0
<_io.BytesIO object at 0x00000257B64D0590>,0.4439225494861603,0.05838289484381676,0.1884482353925705,682864,0.0
<_io.BytesIO object at 0x00000257B64D00E0>,0.3644598424434662,0.061635781079530716,0.2156202644109726,682864,0.0
<_io.BytesIO object at 0x00000257B64D05E0>,0.2770370841026306,0.0649675726890564,0.24274925887584686,682864,0.0
<_io.BytesIO object at 0x00000257B64D0180>,0.44413894414901733,0.06064653769135475,0.19035451114177704,682865,0.0
<_io.BytesIO object at 0x00000257B64D01D0>,0.36443281173706055,0.0635196641087532,0.2173159271478653,682865,0.0
<_io.BytesIO object at 0x00000257B64D06D0>,0.2771221995353699,0.06627967953681946,0.24427209794521332,682865,0.0
<_io.BytesIO object at 0x00000257B64D02C0>,0.4442041218280792,0.06305644661188126,0.19202500581741333,682866,0.0
<_io.BytesIO object at 0x00000257B64D0CC0>,0.3643619120121002,0.0652366429567337,0.21865494549274445,682866,0.0
<_io.BytesIO object at 0x00000257B64D03B0>,0.27692610025405884,0.06774245202541351,0.24562303721904755,682866,0.0
<_io.BytesIO object at 0x00000257B64D00E0>,0.44395580887794495,0.06571303308010101,0.19338597357273102,682867,0.0
<_io.BytesIO object at 0x00000257B64D0D60>,0.36402907967567444,0.06711706519126892,0.21998892724514008,682867,0.0
<_io.BytesIO object at 0x00000257B64D0270>,0.2768048644065857,0.06922776997089386,0.2470160722732544,682867,0.0
<_io.BytesIO object at 0x00000257B64D07C0>,0.443803995847702,0.06844223290681839,0.19480003416538239,682868,0.0
<_io.BytesIO object at 0x00000257B64D02C0>,0.363779753446579,0.06922522932291031,0.22137625515460968,682868,0.0
<_io.BytesIO object at 0x00000257B64FCF90>,0.27647706866264343,0.07075326889753342,0.24837850034236908,682868,0.0
<_io.BytesIO object at 0x00000257B64D0BD0>,0.4434499442577362,0.07116072624921799,0.19630712270736694,682869,0.0
<_io.BytesIO object at 0x00000257B64D0F40>,0.36375680565834045,0.07168277353048325,0.22304026782512665,682869,0.0
<_io.BytesIO object at 0x00000257B64D0180>,0.2761513292789459,0.07230576872825623,0.24980396032333374,682869,0.0
<_io.BytesIO object at 0x00000257B64D0E00>,0.44286227226257324,0.07409992069005966,0.1975395232439041,682870,0.0
<_io.BytesIO object at 0x00000257B64D01D0>,0.36364707350730896,0.07436827570199966,0.22472277283668518,682870,0.0
<_io.BytesIO object at 0x00000257B64D0B80>,0.2754424810409546,0.0738416239619255,0.25114503502845764,682870,0.0
<_io.BytesIO object at 0x00000257B64D00E0>,0.4423219561576843,0.07698338478803635,0.19890549778938293,682871,0.0
<_io.BytesIO object at 0x00000257B64D0BD0>,0.362838476896286,0.07649479061365128,0.22575345635414124,682871,0.0
<_io.BytesIO object at 0x00000257B64FC0E0>,0.2750360369682312,0.0754125788807869,0.252530038356781,682871,0.0
<_io.BytesIO object at 0x00000257B64D0270>,0.4416205883026123,0.07975764572620392,0.2001880258321762,682872,0.0
<_io.BytesIO object at 0x00000257B64D0D60>,0.36204034090042114,0.07842890173196793,0.2271951287984848,682872,0.0
<_io.BytesIO object at 0x00000257B64D0A40>,0.27442947030067444,0.07700703293085098,0.2538575828075409,682872,0.0
<_io.BytesIO object at 0x00000257B64D05E0>,0.44097304344177246,0.08239589631557465,0.20158474147319794,682873,0.0
<_io.BytesIO object at 0x00000257B64D08B0>,0.3612964451313019,0.08058024197816849,0.22831936180591583,682873,0.0
<_io.BytesIO object at 0x00000257B64D0900>,0.27372851967811584,0.0785936638712883,0.2551373243331909,682873,0.0
<_io.BytesIO object at 0x00000257B64D0540>,0.4401540756225586,0.08485770225524902,0.20304150879383087,682874,0.0
<_io.BytesIO object at 0x00000257B64D0B80>,0.36070016026496887,0.08251051604747772,0.22986941039562225,682874,0.0
<_io.BytesIO object at 0x00000257B64D07C0>,0.27299222350120544,0.07986443489789963,0.2568698227405548,682874,0.0
<_io.BytesIO object at 0x00000257B64D08B0>,0.43965333700180054,0.08733111619949341,0.20472881197929382,682875,0.0
<_io.BytesIO object at 0x00000257B64D0CC0>,0.36012890934944153,0.08432532101869583,0.23151078820228577,682875,0.0
<_io.BytesIO object at 0x00000257B64D00E0>,0.27233415842056274,0.08119320869445801,0.25844237208366394,682875,0.0
<_io.BytesIO object at 0x00000257B64D0540>,0.43900710344314575,0.08929215371608734,0.20673897862434387,682876,0.0
<_io.BytesIO object at 0x00000257B64D05E0>,0.35937318205833435,0.08595767617225647,0.2335873395204544,682876,0.0
<_io.BytesIO object at 0x00000257B64D02C0>,0.27173617482185364,0.08238310366868973,0.2603069543838501,682876,0.0
<_io.BytesIO object at 0x00000257B64D0F40>,0.4382999837398529,0.09074079245328903,0.2091483175754547,682877,0.0
<_io.BytesIO object at 0x00000257B64D0540>,0.35882872343063354,0.08740533888339996,0.23548837006092072,682877,0.0
<_io.BytesIO object at 0x00000257B64FCF90>,0.27103325724601746,0.08347479999065399,0.2622222304344177,682877,0.0
